the,-0.77623707509,-0.616434704022
of,-0.794006129508,-0.601535233143
and,-0.673283449851,-0.713413489272
to,-0.694316412907,-0.691979313721
a,-0.589349097404,-0.808980602275
in,-0.807246483609,-0.590743452605
for,-0.606594725546,-0.787906931853
is,-0.740510486227,-0.647926078102
on,-0.798256752416,-0.598042365261
that,-0.849171866672,-0.558212584313
by,-0.786058363809,-0.608139373084
this,-0.585562322978,-0.813717619428
with,-0.694109364254,-0.692185921774
i,-0.705809974138,-0.680642730343
you,-0.524120469302,-0.896674112911
it,-0.634164450128,-0.755828144578
not,-2.59477344077,-0.0775970562295
or,-0.787036560981,-0.607321347046
be,-0.60811933582,-0.786082303427
are,-0.703130619361,-0.683262426408
from,-0.70279655027,-0.683590032018
at,-0.651101798331,-0.737038263982
as,-0.466726933322,-0.986314385819
your,-0.615619022992,-0.777194945521
all,-0.449788781728,-1.01545615614
have,-0.49252555718,-0.944384500433
new,-0.302655599341,-1.3426737808
more,-0.543811664461,-0.868766224285
an,-0.837539059369,-0.566997898834
was,-1.03711050301,-0.43769515862
we,-0.540637757965,-0.8731754933
will,-0.662251378543,-0.725028048411
home,-0.356523576628,-1.20432608385
can,-0.688618437904,-0.697696526066
us,-0.331445118409,-1.26544245292
about,-0.722948834458,-0.664208023393
if,-0.844582505617,-0.561657153619
page,-0.670807466505,-0.715997383325
my,-0.421644618801,-1.06701803419
has,-0.666768707362,-0.720240373383
search,-1.32396411768,-0.309353125745
free,-0.94698705078,-0.490872700044
but,-0.79966690995,-0.596889551643
our,-0.266344012119,-1.45318448136
one,-0.907791330784,-0.516532291565
other,-1.16615184849,-0.373332312541
do,-0.612988351441,-0.780295809372
no,-2.204441417,-0.116884581786
information,-0.374045940864,-1.16457680622
time,-0.335131959161,-1.25612154228
they,-0.499095220205,-0.93414844781
site,-0.677609659994,-0.708929930946
he,-0.422410633947,-1.06555909799
up,-0.553371161222,-0.855685155676
may,-0.929600099253,-0.502050115169
what,-0.40676608032,-1.09601541085
which,-0.781678112722,-0.611820496494
their,-0.55921340344,-0.847834625036
news,-1.04663700851,-0.432502189889
out,-1.01515927711,-0.449957442623
use,-0.545883483225,-0.865905956631
any,-0.696108009477,-0.690195092278
there,-0.572175273513,-0.830793549706
see,-1.01226486702,-0.451605918523
only,-1.51978243062,-0.246872208742
so,-0.804959634259,-0.59258893047
his,-0.654247274378,-0.733621750294
when,-0.820047773576,-0.580552003514
contact,-1.09024019749,-0.409677585719
here,-0.433094614929,-1.04554309605
business,-0.314948920702,-1.30868964691
who,-0.670318317885,-0.716509399834
web,-0.923671611825,-0.505935129652
also,-0.544995049926,-0.867130763725
now,-0.507288252438,-0.921620361969
help,-0.296992451054,-1.35887229282
get,-0.722185030278,-0.66492878823
pm,-0.493541851448,-0.942789751526
view,-0.655892523178,-0.731843634265
online,-0.71101463546,-0.675593375675
c,-0.955801344432,-0.485326671322
e,-0.526220850566,-0.89363337031
first,-1.09280269405,-0.408382611404
am,-0.541858891633,-0.871475105098
been,-0.626857875987,-0.764144707972
would,-0.72893357025,-0.658597332591
how,-0.635168519447,-0.754695385486
were,-1.11866907743,-0.395585577096
me,-0.668941199819,-0.717953656425
s,-0.738885296014,-0.64940986118
services,-0.649274652612,-0.739033181098
some,-0.66967638938,-0.717182117239
these,-0.535048870541,-0.881021732016
click,-0.476780557716,-0.969635443328
its,-0.654135142114,-0.733743159942
like,-0.336133393946,-1.25361057784
service,-0.747181788687,-0.641883238911
x,-0.750206543398,-0.639168592187
than,-0.983684653049,-0.468294294635
find,-0.449789342482,-1.01545516886
price,-0.556887013994,-0.850947847405
date,-0.451847182565,-1.01184235454
back,-1.07431488353,-0.417838844199
top,-0.619164028322,-0.773044284687
people,-0.601934675214,-0.793522123211
had,-0.678838824053,-0.707663241639
list,-0.52343503669,-0.897669811287
name,-0.596636503816,-0.799976930133
just,-0.593219625846,-0.804180262121
over,-1.22848860047,-0.34634941129
state,-1.01999317329,-0.447220978957
year,-0.530060528994,-0.888114786042
day,-0.755908805869,-0.634093034333
into,-0.431455611073,-1.04857403311
email,-0.682588250803,-0.703818792172
two,-0.852618482074,-0.555643817478
health,-0.364400194563,-1.18617597391
n,-1.23314271123,-0.344429410943
world,-0.181672410693,-1.79501153568
re,-0.717542648543,-0.669332705957
next,-0.539666749626,-0.874531142975
used,-1.39636286993,-0.284348305279
go,-0.575749291559,-0.826183602493
b,-0.788668800391,-0.605959637693
work,-0.349908341064,-1.21994191333
last,-0.601630142621,-0.793891088404
most,-0.662924295267,-0.724312031501
products,-0.500478390591,-0.932015141307
music,-0.359195579851,-1.19811591197
buy,-0.400710026819,-1.108190826
data,-0.70791927008,-0.678590132904
make,-1.00180466687,-0.457626368593
them,-0.522942712884,-0.898386022903
should,-0.629223133642,-0.761438257826
product,-0.621993188108,-0.769754571202
system,-0.669959970562,-0.716884825564
post,-0.566114452966,-0.838698151609
her,-0.48340614579,-0.958883331529
city,-0.75634967035,-0.633702894096
t,-1.51489666259,-0.248244588475
add,-0.468083914697,-0.984036989602
policy,-0.647680228857,-0.740780253797
number,-0.811788682862,-0.587100421806
such,-0.628692541577,-0.762044195343
please,-0.920838146368,-0.507805461943
available,-0.424692519355,-1.06123222306
copyright,-2.11793938308,-0.128150720413
support,-0.46219272226,-0.993984558675
message,-0.920394710941,-0.508098964979
after,-0.986225609775,-0.46677973802
best,-0.158167496499,-1.92214229531
software,-0.962143549963,-0.481384975712
then,-1.0135496534,-0.450873259716
jan,-0.697854013464,-0.688462398185
good,-0.107098931667,-2.28707386396
